name,gender,age,status,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
Sääsehirm,mixed,veteran,,0,23:42:55,245,22,EST,Jõeste,Tarvo,EST,Lilleoru,Merle,,,,,,
Latvietes,women,veteran,,0,23:04:33,244,163,LAT,Blūma,Santa,LAT,Šlosberga,Lāsma,,,,,,
Ko Te Notiek?,men,open,,0,23:55:37,242,86,LAT,Kleinbergs,Uldis,LAT,Pelšs,Jānis,,,,,,
Punkt leitud,men,veteran,,0,23:02:25,241,200,EST,Lai,Ivar,EST,Sankovski,Raul,,,,,,
Error,men,open,,0,23:56:03,240,68,EST,Aasaru,Juhan,EST,Virumäe,Alar,,,,,,
M&M,women,veteran,,0,23:08:46,239,29,EST,Punab,Mari,EST,Vares,Made,,,,,,
TPF Mitava,men,veteran,,0,23:30:49,239,155,LAT,Meters,Dainis,LAT,Silins,Ainars,,,,,,
Dzintars matos,women,veteran,,0,23:32:35,237,83,LAT,Brazauska,Gunta,LAT,Kadaša,Kristīne,,,,,,
Jaunystė,men,veteran,,0,23:02:49,236,11,LTU,Čeplinskas,Romas,LTU,Vaičius,Kęstutis,,,,,,
Altra Ukraine,mixed,open,,0,21:24:03,235,92,UKR,Zakharova,Polina,UKR,Tsyren,Ievgenii,,,,,,
Saba,women,veteran,,0,23:31:54,235,151,EST,Zvorovski,Heli,EST,Tiis,Pille,,,,,,
Gone Fishing,women,open,,0,23:41:14,234,121,LAT,Fjodorova,Aleksandra,LAT,Grauduma,Ieva,,,,,,
Team Valmiera,women,veteran,,0,23:02:36,233,35,LAT,Adata,Jana,LAT,Zukovska,Vita,,,,,,
Pūpēži,men,open,,0,22:47:21,232,42,LAT,Bricis,Raimonds,LAT,Mednis,Leons,,,,,,
Kobras DUO,women,superveteran,,0,23:12:10,232,142,EST,Poopuu,Siiri,EST,Värton,Saima,,,,,,
"Jalas kollased sandaalid, vol 3",women,superveteran,,0,23:37:14,232,111,EST,Ehala,Kersti,EST,Vettik,Pilvi-Heli,,,,,,
SMI,men,veteran,,0,23:18:48,231,246,EST,Kõiv,Jüri,EST,Pärt,Enn,EST,Tolm,Tarmo,,,
TRUE STORY,men,ultraveteran,,0,23:49:05,231,87,LAT,Laveikis,Rolands,LAT,Caklis,Imants,,,,,,
2 teravat Kaianne'i,women,veteran,,0,23:16:53,230,168,EST,Aas,Anneli,EST,Treier,Kai,,,,,,
IBIZA,women,veteran,,0,23:46:22,230,8,LAT,Bērziņa,Inese,LAT,Zāģere,Iveta,,,,,,
Freestyle,men,superveteran,,8,24:07:22,230,59,LAT,Kļaviņš,Edgars,LAT,Žogla,Ēvalds,,,,,,
Elite Girls,women,youth,,0,23:18:07,228,49,UKR,Hoienko,Mariia,UKR,Prudenko,Olena,,,,,,
Vijolīšu grava,mixed,open,,4,24:03:11,228,84,LAT,Pucena,Mara,LAT,Svilpe,Klāvs,,,,,,
Okaskuup,men,veteran,,0,23:17:28,227,56,EST,Lember,Jüri,EST,Tammjärv,Kalle,,,,,,
Vandersellid,women,superveteran,,0,23:19:54,227,107,EST,Konsap,Kaie,EST,Voitka,Epp,,,,,,
Cortex-team,men,youth,,0,23:20:19,227,129,EST,Kadaste,Sven,EST,Ustav,Tõnis,,,,,,
Sobaka na paru,men,youth,,0,23:30:50,227,75,UKR,Pohrebets,Danylo,UKR,Zacheshyhryva,Bohdan,,,,,,
BUKOVYNA-CHERKASY,women,youth,,0,23:52:02,227,89,UKR,Ilkova,Olha,UKR,Myronuk,Alina,,,,,,
Hobo hike,mixed,open,,0,23:32:31,224,133,EST,Jäädmaa,Triin,EST,Ruubel,Kristen,,,,,,
Okaskera,women,veteran,,0,23:17:24,223,57,EST,Krünvald,Liina,EST,Tammjärv,Marika,,,,,,
Durbes bisons,mixed,superveteran,,0,23:38:26,222,52,LAT,Penkule,Silvija,LAT,Penkulis,Māris,,,,,,
Olaine,mixed,superveteran,,0,22:52:25,221,45,LAT,Sinke,Arija,LAT,Sinke,Juris,,,,,,
Bukovyna girls,women,open,,0,23:53:02,221,34,UKR,Kyfiak,Kateryna,UKR,Nigda,Aliona,,,,,,
Bāunyz,men,open,,0,23:15:48,219,40,LTU,Vidugiris,Modestas,LTU,Vidugiris,Paulius,,,,,,
Rabahundid,men,veteran,,0,23:07:37,214,108,EST,Valdmaa,Lauri,EST,Valter,Marko,,,,,,
Devil Hill Wanderers2,women,veteran,,0,22:37:12,212,167,FIN,Törmikoski,Tarja,FIN,Vesisenaho,Anu,,,,,,
Team Meridians,mixed,youth,,0,23:10:43,212,69,LAT,Krēmere,Elīna,LAT,Krēmers,Krišjānis,,,,,,
StepByStep,men,ultraveteran,,0,23:52:11,211,130,EST,Eomois,Peep,EST,Rokko,Jüri,,,,,,
Bukovyna Team,men,open,,0,21:12:25,210,13,UKR,Andrusiak,Ivan,UKR,Malovaniuk,Orest,,,,,,
Romanichi,mixed,open,,0,23:58:52,210,243,LAT,Koskina,Ilva,LAT,Koskins,Romans,LAT,Koskins-Diks,Janis,,,
Chubiishi,mixed,open,,0,23:53:07,208,54,LAT,Prule-Munda,Inga,LAT,Prulis-Munda,Edgars,,,,,,
ITI ja MIKI,men,ultraveteran,,0,20:44:00,207,112,EST,Nurm,Tõnu,EST,Tasa,Johannes,,,,,,
